env_id,generation,mean,std
CartPole-v1,0,85.36,11.18874434420592
CartPole-v1,1,147.76,100.95171122868597
CartPole-v1,2,228.76,136.8625149557029
CartPole-v1,3,238.11999999999998,153.21857589731084
CartPole-v1,4,242.2,151.8289168768585
CartPole-v1,5,318.28000000000003,122.1741871264139
CartPole-v1,6,335.2,120.46036692622185
CartPole-v1,7,398.56,102.50047804766568
CartPole-v1,8,401.04,101.47309002883472
CartPole-v1,9,401.4,101.34831029671882
CartPole-v1,10,431.4,99.29149006838401
CartPole-v1,11,440.91999999999996,82.34094971519335
CartPole-v1,12,441.12,82.1387362941505
CartPole-v1,13,454.48,62.83193455560636
CartPole-v1,14,473.36,53.943377721459015
CartPole-v1,15,473.36,53.943377721459015
CartPole-v1,16,484.64,28.885428852623942
CartPole-v1,17,487.03999999999996,28.979440988397283
CartPole-v1,18,487.08000000000004,28.889998269297294
CartPole-v1,19,487.2,28.621670111997314
CartPole-v1,20,488.03999999999996,26.743373010897486
CartPole-v1,21,488.03999999999996,26.743373010897486
CartPole-v1,22,489.16,24.23897687609772
CartPole-v1,23,489.16,24.23897687609772
CartPole-v1,24,490.88,20.39293995479809
